Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,3,54.642857,0,9000.0,-1,2.8899999,0.0,1,54.642857,0,2.8899999,SAT,EXTRA 100.0,27.554,
2,1,4,51.25,0,9000.0,-1,2.9499998,0.0,1,51.25,1,5.8399997,SAT,EXTRA 100.0,27.489,
3,2,3,100.0,0,9000.0,-1,0.0,0.0,0,100.0,1,5.8399997,TIMEOUT,EXTRA 0.0,24.451,
4,1,7,52.5,0,9000.0,-1,2.9899998,0.0,1,52.5,1,8.8299995,SAT,EXTRA 100.0,27.787,
5,3,4,100.0,0,9000.0,-1,2.27,0.0,0,100.0,1,11.0999995,TIMEOUT,EXTRA 0.0,26.9,
6,1,9,51.07143,0,9000.0,-1,2.9399998,0.0,1,51.07143,1,14.039999299999998,SAT,EXTRA 100.0,27.86,
7,4,3,56.607143,0,9000.0,-1,78.10999,0.0,1,56.607143,1,92.14998929999999,SAT,EXTRA 100.0,103.058,
8,1,8,51.607143,0,9000.0,-1,2.9999998,0.0,1,51.607143,2,95.14998909999998,SAT,EXTRA 100.0,27.792,
9,5,7,40.357143,0,9000.0,-1,10369.529,0.0,1,40.357143,2,10464.6789891,SAT,EXTRA 100.0,10396.683,
10,5,9,41.607143,0,9000.0,-1,10329.341,0.0,1,41.607143,2,20794.0199891,SAT,EXTRA 100.0,10356.739,
11,5,8,42.32143,0,9000.0,-1,9875.17,0.0,1,42.32143,2,30669.1899891,SAT,EXTRA 100.0,9900.586,
12,5,3,47.5,0,9000.0,-1,10221.8,0.0,1,47.5,2,40890.989989099995,SAT,EXTRA 100.0,10247.669,
13,5,4,42.142857,0,9000.0,-1,10343.77,0.0,1,42.142857,2,51234.7599891,SAT,EXTRA 100.0,10370.624,
14,5,1,40.17857,0,9000.0,-1,10265.56,0.0,1,40.17857,2,61500.3199891,SAT,EXTRA 100.0,10292.288,
15,6,4,45.17857,0,9000.0,-1,6.56,0.0,1,45.17857,2,61506.879989099994,SAT,EXTRA 100.0,30.472,
16,5,10,45.0,0,9000.0,-1,9903.139,0.0,1,45.0,3,71410.01898909999,SAT,EXTRA 100.0,9929.329,
17,7,10,46.42857,0,9000.0,-1,9102.799,0.0,1,46.42857,3,80512.81798909999,SAT,EXTRA 100.0,9128.581,
18,5,2,42.67857,0,9000.0,-1,10024.439,0.0,1,42.67857,3,90537.25698909999,SAT,EXTRA 100.0,10050.288,
19,8,3,100.0,0,9000.0,-1,414.06998,0.0,0,100.0,3,90951.32696909999,TIMEOUT,EXTRA 0.0,436.753,
20,5,5,42.67857,0,9000.0,-1,9856.56,0.0,1,42.67857,4,100807.88696909999,SAT,EXTRA 100.0,9882.452,
21,9,8,53.57143,0,9000.0,-1,2.7,0.0,1,53.57143,4,100810.58696909998,SAT,EXTRA 100.0,27.099,
